Nama File,Label Prediksi,Nama Folder
augmented_image_10.jpg,H,H
augmented_image_11.jpg,H,H
augmented_image_16.jpg,H,H
augmented_image_22.jpg,H,H
augmented_image_30.jpg,H,H
augmented_image_35.jpg,H,H
augmented_image_4.jpg,H,H
augmented_image_40.jpg,H,H
augmented_image_41.jpg,H,H
augmented_image_43.jpg,H,H
augmented_image_47.jpg,H,H
augmented_image_58.jpg,H,H
augmented_image_64.jpg,H,H
augmented_image_73.jpg,H,H
augmented_image_76.jpg,H,H
augmented_image_80.jpg,H,H
augmented_image_83.jpg,H,H
augmented_image_84.jpg,H,H
augmented_image_87.jpg,H,H
augmented_image_9.jpg,H,H
augmented_image_90.jpg,H,H
body white (1).jpg,H,H
flip002.jpg,H,H
flip006.jpg,H,H
flip007.jpg,H,H
flip013.jpg,H,H
flip014.jpg,H,H
flip016.jpg,H,H
flip017.jpg,H,H
flip029.jpg,H,H
flip032.jpg,H,H
flip037.jpg,H,H
flip045.jpg,H,H
flip053.jpg,H,H
flip055.jpg,H,H
flip060.jpg,H,H
flip061.jpg,H,H
flip062.jpg,H,H
flip065.jpg,H,H
flip066.jpg,H,H
flip076.jpg,H,H
flip077.jpg,H,H
flip083.jpg,H,H
flip088.jpg,H,H
flip096.jpg,H,H
flip097.jpg,H,H
flip101.jpg,H,H
flip103.jpg,H,H
flip105.jpg,H,H
flip106.jpg,H,H
flip107.jpg,H,H
flip109.jpg,H,H
flip124.jpg,H,H
flip135.jpg,H,H
flip139.jpg,H,H
flip140.jpg,H,H
image_12.jpg,H,H
image_14.jpg,H,H
image_17.jpg,H,H
image_27.jpg,H,H
image_8.jpg,H,H
image_9.jpg,H,H
rotate008.jpg,H,H
rotate017.jpg,H,H
rotate021.jpg,H,H
rotate024.jpg,H,H
rotate025.jpg,H,H
rotate030.jpg,H,H
rotate033.jpg,H,H
rotate043.jpg,H,H
rotate044.jpg,H,H
rotate047.jpg,H,H
rotate049.jpg,H,H
rotate052.jpg,H,H
rotate061.jpg,H,H
rotate081.jpg,H,H
rotate083.jpg,H,H
rotate096.jpg,H,H
rotate103.jpg,H,H
rotate115.jpg,H,H
rotate117.jpg,H,H
rotate133.jpg,H,H
rotate136.jpg,H,H
rotate138.jpg,H,H
rotate141.jpg,H,H
rotate142.jpg,H,H
rotate143.jpg,H,H
