Nama File,Label Prediksi,Nama Folder
IMG_20191210_180936.jpg,T,T
augmented_image_10.jpg,T,T
augmented_image_13.jpg,T,T
augmented_image_16.jpg,T,T
augmented_image_37.jpg,T,T
augmented_image_43.jpg,T,T
augmented_image_59.jpg,T,T
augmented_image_6.jpg,T,T
augmented_image_62.jpg,T,T
augmented_image_70.jpg,T,T
augmented_image_78.jpg,T,T
augmented_image_8.jpg,T,T
augmented_image_82.jpg,T,T
augmented_image_87.jpg,T,T
augmented_image_88.jpg,T,T
body white (3).jpg,T,T
flip000.jpg,T,T
flip001.jpg,T,T
flip006.jpg,T,T
flip008.jpg,T,T
flip021.jpg,T,T
flip030.jpg,T,T
flip033.jpg,T,T
flip044.jpg,T,T
flip046.jpg,T,T
flip051.jpg,T,T
flip052.jpg,T,T
flip063.jpg,T,T
flip065.jpg,T,T
flip068.jpg,T,T
flip072.jpg,T,T
flip073.jpg,T,T
flip086.jpg,T,T
flip089.jpg,T,T
flip090.jpg,T,T
flip092.jpg,T,T
flip093.jpg,T,T
flip097.jpg,T,T
flip102.jpg,T,T
flip118.jpg,T,T
flip140.jpg,T,T
flip149.jpg,T,T
image_10.jpg,T,T
image_11.jpg,T,T
image_14 c.jpg,T,T
image_20.jpg,T,T
image_23.jpg,T,T
image_28.jpg,T,T
image_33.jpg,T,T
image_34.jpg,T,T
image_7.jpg,T,T
rotate001.jpg,T,T
rotate002.jpg,T,T
rotate006.jpg,T,T
rotate010.jpg,T,T
rotate017.jpg,T,T
rotate018.jpg,T,T
rotate027.jpg,T,T
rotate028.jpg,T,T
rotate029.jpg,T,T
rotate033.jpg,T,T
rotate034.jpg,T,T
rotate039.jpg,T,T
rotate042.jpg,T,T
rotate051.jpg,T,T
rotate053.jpg,T,T
rotate056.jpg,T,T
rotate061.jpg,T,T
rotate065.jpg,T,T
rotate066.jpg,T,T
rotate072.jpg,T,T
rotate078.jpg,T,T
rotate081.jpg,T,T
rotate088.jpg,T,T
rotate089.jpg,T,T
rotate091.jpg,T,T
rotate096.jpg,T,T
rotate097.jpg,T,T
rotate103.jpg,T,T
rotate107.jpg,T,T
rotate113.jpg,T,T
rotate116.jpg,T,T
rotate118.jpg,T,T
rotate123.jpg,T,T
rotate124.jpg,T,T
rotate125.jpg,T,T
rotate131.jpg,T,T
rotate134.jpg,T,T
rotate144.jpg,T,T
wall white (4).jpg,T,T
